date,Meta AI,Meta AI app,Llama 4,LlamaCon,Meta Motivo
2023-01-01,1,0,3,0,0
2023-01-08,2,0,3,0,0
2023-01-15,2,0,3,0,0
2023-01-22,2,0,3,0,0
2023-01-29,3,0,3,0,0
2023-02-05,3,0,3,0,0
2023-02-12,2,0,3,0,0
2023-02-19,3,0,4,0,0
2023-02-26,3,0,4,0,0
2023-03-05,2,0,4,0,0
2023-03-12,3,0,4,0,0
2023-03-19,2,0,4,0,0
2023-03-26,2,0,4,0,0
2023-04-02,3,0,4,0,0
2023-04-09,3,0,4,0,0
2023-04-16,3,0,5,0,0
2023-04-23,3,0,4,0,0
2023-04-30,3,0,4,0,0
2023-05-07,3,0,4,0,0
2023-05-14,3,0,4,0,0
2023-05-21,3,0,4,0,0
2023-05-28,3,0,5,0,0
2023-06-04,3,0,4,0,0
2023-06-11,4,0,4,0,0
2023-06-18,4,0,4,0,0
2023-06-25,3,0,4,0,0
2023-07-02,4,0,4,0,0
2023-07-09,4,0,3,0,0
2023-07-16,6,0,3,0,0
2023-07-23,5,0,3,0,0
2023-07-30,5,0,3,0,0
2023-08-06,4,0,3,0,0
2023-08-13,3,0,4,0,0
2023-08-20,4,0,3,0,0
2023-08-27,3,0,3,0,0
2023-09-03,3,0,4,0,0
2023-09-10,4,0,3,0,0
2023-09-17,3,0,4,0,0
2023-09-24,11,0,4,0,0
2023-10-01,10,0,4,0,0
2023-10-08,7,0,4,0,0
2023-10-15,6,0,4,0,0
2023-10-22,6,0,5,0,0
2023-10-29,5,0,4,0,0
2023-11-05,6,0,4,0,0
2023-11-12,6,0,4,0,0
2023-11-19,6,0,3,0,0
2023-11-26,6,0,4,0,0
2023-12-03,10,0,4,0,0
2023-12-10,10,0,4,0,0
2023-12-17,7,0,3,0,0
2023-12-24,5,0,3,0,0
2023-12-31,6,0,3,0,0
2024-01-07,5,0,3,0,0
2024-01-14,6,0,3,0,0
2024-01-21,7,0,3,0,0
2024-01-28,9,0,4,0,0
2024-02-04,7,0,3,0,0
2024-02-11,7,0,4,0,0
2024-02-18,7,0,4,0,0
2024-02-25,7,0,4,0,0
2024-03-03,7,0,4,0,0
2024-03-10,6,0,4,0,0
2024-03-17,6,0,4,0,0
2024-03-24,6,0,3,0,0
2024-03-31,6,0,4,0,0
2024-04-07,17,0,4,0,0
2024-04-14,92,1,5,0,0
2024-04-21,99,1,5,0,0
2024-04-28,61,1,5,0,0
2024-05-05,42,0,4,0,0
2024-05-12,39,1,4,0,0
2024-05-19,34,0,4,0,0
2024-05-26,39,0,4,0,0
2024-06-02,37,1,4,0,0
2024-06-09,31,0,4,0,0
2024-06-16,29,0,4,0,0
2024-06-23,82,1,4,0,0
2024-06-30,46,1,4,0,0
2024-07-07,36,1,4,0,0
2024-07-14,68,1,4,0,0
2024-07-21,99,1,5,0,0
2024-07-28,70,1,4,0,0
2024-08-04,53,1,4,0,0
2024-08-11,49,1,4,0,0
2024-08-18,45,1,4,0,0
2024-08-25,45,0,3,0,0
2024-09-01,43,1,4,0,0
2024-09-08,42,1,4,0,0
2024-09-15,42,1,4,0,0
2024-09-22,61,1,4,0,0
2024-09-29,47,1,4,0,0
2024-10-06,48,1,4,0,0
2024-10-13,66,1,4,0,0
2024-10-20,100,1,4,0,0
2024-10-27,70,1,4,0,0
2024-11-03,51,1,4,0,0
2024-11-10,46,1,4,0,0
2024-11-17,45,1,4,0,0
2024-11-24,44,1,4,0,0
2024-12-01,63,1,4,0,0
2024-12-08,86,1,4,0,0
2024-12-15,100,1,3,0,0
2024-12-22,66,1,3,0,0
2024-12-29,56,1,3,0,0
